Id,Height,Weight,Name,Gender
9383,138.88,30.23,Outliar5,Female
8928,138.92,29.2,Outliar4,Male
4532,204.23,117.03,Outliar3,Female
2324,139.02,118.36,Outliar2,Male
2323,139.03,119.37,Outliar1,Male
2723,135.53,219.37,Outliar6,Female
8799,136.66,201.42,Outliar7,Female
7295,139.38,35.66,Stanley,Male
7618,140.08,40.28,Garrett,Male
5346,140.55,40.08,Kenneth,Male
8693,141.36,38.84,Emmer,Female
5361,141.4,31.29,Wilburn,Male
6626,141.58,49.04,Coral,Female
6177,141.86,47.07,Marion,Female
9826,142.19,38.74,Early,Male
6835,142.41,40.63,Elvina,Female
5733,142.44,42.86,Dale,Male
6909,142.49,47.61,Dot,Female
8004,142.51,39.6,Woodie,Male
5741,142.52,36.53,Emma,Male
5075,142.65,41.19,Perry,Male
8242,142.66,35.33,Amelia,Female
5124,143.37,43.84,Aaron,Male
9761,143.6,44.34,Noble,Male
5027,143.63,38.5,Luther,Male
8854,143.63,41.21,Lauretta,Female
6048,143.84,40.59,Urban,Male
6621,143.96,44.12,Roxy,Female
7587,144.11,41.55,Johnie,Male
7544,144.12,46.97,Orin,Male
5959,144.16,40.32,German,Male
6983,144.18,35.91,Alene,Female
5215,144.24,38.1,Louie,Male
6708,144.25,43.24,Serena,Female
7325,144.3,38.18,Donald,Male
9059,144.33,46.26,Rosena,Female
6231,144.41,44.16,Hilda,Female
7176,144.49,45.3,Francis,Male
6603,144.65,48.61,Annis,Female
6671,144.72,40.45,Sophronia,Female
9762,144.72,40.98,Norris,Male
9463,144.77,38.29,Melvin,Male
9905,144.85,45.9,Jesus,Male
7263,144.96,42.52,Ross,Male
5123,145.04,42.41,Melvin,Male
7362,145.07,44.81,Andy,Male
8052,145.13,44.95,Elihu,Male
7500,145.16,41.57,Emerson,Male
7103,145.18,42.76,Tinnie,Female
9312,145.2,48.08,Ula,Female
6782,145.29,47.16,Francisca,Female
6013,145.31,45.13,Norton,Male
8294,145.37,45.07,Tillie,Female
7447,145.44,46.14,Clay,Male
7520,145.47,42.86,Carey,Male
5183,145.58,43.15,Grover,Male
5463,145.58,42.58,Erastus,Male
9567,145.68,33,Julian,Male
9979,145.73,51.8,Willian,Male
5301,145.79,48.35,Hans,Male
5181,145.9,47.39,Gustave,Male
